Date,City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
2015-01-01,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.531,2.402,4.797,3.813,3.276,2.23,4.755,3.658,235.0,576.0
2015-01-02,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.372,2.309,4.503,3.624,3.226,2.195,4.72,3.615,204.0,581.0
2015-01-03,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.384,2.402,4.503,3.613,3.272,2.223,4.765,3.662,235.0,570.0
2015-01-04,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.398,2.38,4.503,3.619,3.331,2.245,4.836,3.759,234.0,579.0
2015-01-05,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.455,2.53,4.635,3.714,3.345,2.225,4.779,3.705,248.0,577.0
2015-01-06,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.37,2.41,4.551,3.554,3.404,2.276,4.913,3.75,255.0,573.0
2015-01-07,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.398,2.507,4.563,3.536,3.402,2.224,4.854,3.731,239.0,584.0
2015-01-08,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.455,2.507,4.635,3.578,3.381,2.254,4.79,3.711,264.0,582.0
2015-01-09,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.478,2.649,4.725,3.639,3.481,2.419,4.89,3.823,232.0,577.0
2015-01-10,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.478,2.649,4.725,3.639,3.538,2.491,4.958,3.906,232.0,534.0
2015-01-11,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.512,2.654,4.839,3.735,3.597,2.53,5.228,4.052,195.0,535.0
2015-01-12,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.512,2.654,4.839,3.735,3.642,2.525,5.31,4.079,195.0,536.0
2015-01-13,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.119,2.685,4.974,3.915,3.908,2.609,5.673,4.312,175.0,543.0
2015-01-14,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.159,2.725,5.065,4.026,4.099,2.787,6.051,4.537,150.0,539.0
2015-01-15,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.448,2.829,5.266,4.355,4.246,2.873,6.16,4.655,172.0,537.0
2015-01-16,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.362,2.829,5.266,4.303,4.424,2.919,6.355,4.803,155.0,549.0
2015-01-17,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.352,2.829,5.266,4.322,4.371,2.751,6.385,4.737,174.0,539.0
2015-01-18,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.538,3.002,5.6,4.571,4.354,2.735,6.389,4.712,143.0,543.0
2015-01-19,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.552,3.002,5.6,4.574,4.372,2.676,6.285,4.648,148.0,532.0
2015-01-20,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.697,3.471,6.02,4.91,4.787,2.884,6.498,4.801,117.0,538.0
2015-01-21,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.09,4.097,6.77,5.505,4.786,2.965,6.602,4.846,121.0,538.0
2015-01-22,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.387,3.853,7.579,5.618,4.863,2.991,6.843,4.944,122.0,534.0
2015-01-23,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.476,3.853,7.738,5.852,5.044,3.13,6.784,5.179,97.0,544.0
2015-01-24,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.966,3.426,7.513,5.434,5.035,3.195,6.81,5.207,121.0,544.0
2015-01-25,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.966,3.426,7.513,5.434,4.841,3.058,6.822,5.113,121.0,581.0
2015-01-26,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.387,3.513,7.655,5.58,5.084,2.977,6.86,5.074,129.0,576.0
2015-01-27,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.387,3.513,7.655,5.58,4.984,2.938,6.847,5.012,129.0,577.0
2015-01-28,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.387,3.513,7.655,5.58,4.893,3.169,6.674,4.932,129.0,577.0
2015-01-29,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.387,3.513,7.655,5.571,4.777,3.087,6.646,4.825,125.0,586.0
2015-01-30,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.686,6.699,5.715,4.739,3.107,6.407,4.814,114.0,584.0
2015-01-31,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.463,3.853,7.738,6.046,4.568,3.035,6.476,4.792,133.0,583.0
2015-02-01,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.476,3.513,8.032,5.884,4.688,3.08,6.589,4.944,122.0,593.0
2015-02-02,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.557,3.391,7.963,5.775,4.782,3.155,6.529,5.0,146.0,583.0
2015-02-03,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.557,3.391,8.032,5.795,4.817,3.196,6.727,5.056,141.0,585.0
2015-02-04,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.557,3.319,8.379,5.841,4.827,3.157,6.884,5.101,148.0,575.0
2015-02-05,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.19,2.995,7.634,5.479,4.73,3.088,6.692,5.018,126.0,580.0
2015-02-06,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.137,3.163,7.208,5.359,4.65,2.972,6.502,4.899,144.0,579.0
2015-02-07,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.137,2.995,7.208,5.337,4.577,2.935,6.307,4.786,147.0,575.0
2015-02-08,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.229,7.349,5.594,4.432,2.85,6.264,4.693,123.0,581.0
2015-02-09,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.319,7.634,5.829,4.512,2.966,6.4,4.885,149.0,575.0
2015-02-10,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.285,7.349,5.736,4.406,2.929,6.23,4.769,141.0,574.0
2015-02-11,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.285,7.349,5.736,4.439,2.949,6.033,4.743,141.0,531.0
2015-02-12,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.285,7.349,5.736,4.542,2.935,6.227,4.807,141.0,532.0
2015-02-13,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.271,3.587,7.102,5.734,4.318,2.851,6.078,4.723,178.0,533.0
2015-02-14,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],5.164,3.285,7.209,5.559,4.204,2.726,5.969,4.629,162.0,540.0
2015-02-15,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.061,2.622,6.675,4.747,3.985,2.599,5.949,4.442,156.0,537.0
2015-02-16,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.237,2.671,6.675,4.913,4.08,2.695,5.748,4.44,151.0,535.0
2015-02-17,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.037,2.635,6.596,4.784,3.883,2.573,5.614,4.338,134.0,546.0
2015-02-18,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.964,2.635,6.596,4.775,3.852,2.602,5.633,4.344,136.0,539.0
2015-02-19,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.964,2.622,6.142,4.663,3.874,2.575,5.524,4.283,129.0,543.0
2015-02-20,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.73,2.875,7.349,5.215,4.006,2.617,5.751,4.4,149.0,535.0
2015-02-21,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.914,2.725,7.578,5.332,4.038,2.535,5.718,4.382,119.0,540.0
2015-02-22,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.275,2.764,7.102,5.049,4.012,2.552,5.704,4.379,141.0,539.0
2015-02-23,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.275,2.622,7.092,4.988,3.992,2.474,5.758,4.375,159.0,540.0
2015-02-24,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.828,2.385,6.396,4.367,3.656,2.171,5.469,4.04,140.0,551.0
2015-02-25,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.828,2.385,6.396,4.367,3.487,1.997,5.376,3.897,140.0,547.0
2015-02-26,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.828,2.385,6.396,4.367,3.486,2.03,5.389,3.913,140.0,584.0
2015-02-27,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.19,2.41,6.232,4.494,3.448,1.916,5.09,3.783,172.0,581.0
2015-02-28,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.651,2.092,5.818,4.193,3.294,1.876,4.974,3.723,135.0,583.0
2015-03-01,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.651,2.101,5.785,4.149,3.298,1.882,5.082,3.759,154.0,583.0
2015-03-02,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.284,2.112,6.06,4.502,3.44,1.863,5.239,3.851,133.0,590.0
2015-03-03,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.286,2.212,6.847,4.761,3.19,1.771,5.083,3.786,149.0,586.0
2015-03-04,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.533,2.223,6.864,4.821,3.51,1.918,5.263,3.877,171.0,582.0
2015-03-05,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.286,2.101,6.847,4.719,3.424,1.821,5.178,3.775,177.0,589.0
2015-03-06,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],4.286,2.101,6.847,4.794,3.427,1.837,5.139,3.781,192.0,580.0
2015-03-07,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.909,1.848,5.785,4.307,3.292,1.799,4.762,3.616,172.0,582.0
2015-03-08,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.659,2.072,5.629,4.181,3.268,1.898,4.739,3.612,191.0,573.0
2015-03-09,Barcelona,Spain,2.1501,41.3833,[1.6501 40.8833 2.6501 41.8833],3.651,2.032,5.652,4.25,3.318,1.89,4.766,3.652,166.0,578.0
