Date,City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
2015-01-01,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],0.925,0.46,1.508,1.076,1.077,0.554,1.688,1.189,257.0,655.0
2015-01-02,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.058,0.515,1.601,1.172,1.102,0.55,1.706,1.206,225.0,656.0
2015-01-03,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.058,0.515,1.601,1.172,1.124,0.558,1.748,1.226,225.0,651.0
2015-01-04,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.038,0.495,1.601,1.127,1.161,0.564,1.828,1.255,186.0,654.0
2015-01-05,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.149,0.549,1.732,1.222,1.152,0.571,1.817,1.253,194.0,655.0
2015-01-06,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.134,0.543,1.732,1.223,1.145,0.575,1.803,1.245,189.0,657.0
2015-01-07,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.184,0.549,1.781,1.241,1.168,0.524,1.802,1.243,165.0,664.0
2015-01-08,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.184,0.549,1.781,1.233,1.105,0.49,1.718,1.181,150.0,662.0
2015-01-09,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.268,0.658,1.896,1.3,1.137,0.528,1.795,1.221,148.0,633.0
2015-01-10,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.268,0.658,1.896,1.3,1.197,0.584,1.826,1.257,148.0,546.0
2015-01-11,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.329,0.723,2.018,1.401,1.234,0.6,1.863,1.277,129.0,548.0
2015-01-12,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.32,0.785,1.977,1.381,1.219,0.628,1.905,1.292,159.0,544.0
2015-01-13,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.333,0.818,2.018,1.44,1.232,0.638,1.949,1.315,132.0,541.0
2015-01-14,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.792,1.901,1.343,1.24,0.679,1.99,1.345,120.0,551.0
2015-01-15,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.792,1.901,1.325,1.24,0.662,1.983,1.332,141.0,558.0
2015-01-16,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.785,1.901,1.328,1.257,0.677,1.925,1.334,164.0,556.0
2015-01-17,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.785,1.904,1.379,1.257,0.668,1.985,1.365,186.0,548.0
2015-01-18,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.785,1.904,1.379,1.252,0.703,1.979,1.374,186.0,547.0
2015-01-19,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.27,0.745,1.901,1.346,1.189,0.638,1.894,1.308,195.0,540.0
2015-01-20,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.148,0.708,1.775,1.268,1.176,0.658,1.9,1.323,157.0,544.0
2015-01-21,Melbourne,Australia,144.9667,-37.7833,[144.4667 -38.2833 145.4667 -37.2833],1.118,0.708,1.775,1.252,1.167,0.659,1.893,1.319,187.0,545.0
