Date,City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
2015-01-01,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,5.591,3.509,3.137,1.593,5.799,4.059,19.0,634.0
2015-01-02,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,5.591,3.509,3.332,1.671,6.419,4.3,19.0,640.0
2015-01-03,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,5.591,3.509,4.458,1.883,7.456,5.118,19.0,638.0
2015-01-04,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,5.591,3.509,5.097,2.378,8.361,5.665,19.0,639.0
2015-01-05,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,5.591,3.509,4.927,2.329,8.66,5.72,19.0,634.0
2015-01-06,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.878,4.208,1.899,7.092,4.644,31.0,645.0
2015-01-07,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.878,4.039,1.938,6.73,4.414,31.0,630.0
2015-01-08,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.878,4.38,2.472,6.744,4.584,31.0,631.0
2015-01-09,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.878,4.365,2.618,6.6,4.756,31.0,642.0
2015-01-10,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.878,4.464,2.628,6.668,4.748,31.0,597.0
2015-01-11,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.875,3.945,2.461,5.99,4.388,32.0,601.0
2015-01-12,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.818,2.875,3.828,2.406,5.85,4.316,32.0,599.0
2015-01-13,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.539,1.873,3.218,2.777,4.028,2.442,5.72,4.323,25.0,602.0
2015-01-14,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.287,2.754,2.158,4.279,2.834,6.397,4.786,23.0,598.0
2015-01-15,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,4.309,2.762,6.418,4.747,14.0,595.0
2015-01-16,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,5.037,3.17,7.312,5.453,14.0,591.0
2015-01-17,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,4.801,3.178,7.001,5.294,14.0,589.0
2015-01-18,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,4.238,2.791,6.194,4.697,14.0,597.0
2015-01-19,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,4.501,3.027,6.453,4.921,14.0,597.0
2015-01-20,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],2.324,1.088,3.042,2.208,4.36,3.055,6.472,4.921,14.0,600.0
2015-01-21,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],0.773,0.773,0.773,1.099,4.455,3.214,6.647,5.09,2.0,592.0
2015-01-22,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],0.773,0.773,0.773,1.099,4.969,3.419,6.785,5.361,2.0,601.0
2015-01-23,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],0.773,0.773,0.773,1.099,4.893,3.364,6.695,5.305,2.0,586.0
2015-01-24,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],1.621,0.773,1.621,1.386,4.985,3.301,6.604,5.29,4.0,588.0
2015-01-25,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],1.836,1.621,2.263,1.988,4.474,2.814,6.491,4.961,16.0,636.0
2015-01-26,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],1.836,1.621,2.244,1.984,4.764,2.925,6.788,5.153,15.0,629.0
2015-01-27,Munich,Germany,11.5833,48.1333,[11.0833 47.6333 12.0833 48.6333],4.297,2.244,6.134,4.446,4.979,2.896,6.972,5.281,37.0,634.0
