Date,City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
2015-01-01,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],7.343,5.442,10.546,8.551,6.483,4.654,9.646,7.748,138.0,558.0
2015-01-02,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],8.396,5.516,12.598,9.242,6.807,4.666,10.183,7.997,119.0,563.0
2015-01-03,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.1,4.388,10.398,7.82,6.591,4.594,10.193,7.965,124.0,563.0
2015-01-04,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.066,4.353,10.419,7.857,6.421,4.567,9.815,7.768,136.0,582.0
2015-01-05,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.781,4.325,10.126,7.384,6.446,4.434,9.749,7.731,124.0,572.0
2015-01-06,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.066,4.325,10.126,7.455,6.262,4.238,9.362,7.498,148.0,570.0
2015-01-07,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.433,4.179,9.737,6.983,6.057,4.339,8.975,7.276,125.0,577.0
2015-01-08,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.719,4.236,10.086,7.157,5.902,4.186,8.862,7.034,143.0,561.0
2015-01-09,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.725,4.236,10.086,7.176,5.849,4.061,8.7,6.952,141.0,563.0
2015-01-10,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.725,4.236,10.086,7.176,5.945,3.957,8.65,6.991,141.0,514.0
2015-01-11,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.725,4.236,10.086,7.176,5.919,3.895,8.738,6.955,141.0,531.0
2015-01-12,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.333,4.481,10.419,7.729,6.112,3.978,8.93,7.133,135.0,523.0
2015-01-13,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.333,4.481,10.6,7.746,6.236,4.153,9.195,7.275,146.0,536.0
2015-01-14,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.242,4.388,10.6,7.628,6.448,4.298,9.523,7.469,133.0,532.0
2015-01-15,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.242,4.388,10.6,7.628,6.37,4.306,9.505,7.435,133.0,519.0
2015-01-16,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.293,4.388,11.055,7.671,6.598,4.325,9.815,7.612,131.0,524.0
2015-01-17,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.293,4.388,11.055,7.671,6.157,4.231,9.415,7.315,131.0,511.0
2015-01-18,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],8.411,5.535,11.657,8.795,6.229,4.323,9.019,7.286,103.0,516.0
2015-01-19,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],8.411,5.309,11.622,8.697,6.072,4.286,8.904,7.201,79.0,515.0
2015-01-20,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.788,5.16,11.324,8.457,5.824,4.235,8.556,7.031,96.0,535.0
2015-01-21,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],7.465,5.042,11.055,8.263,5.993,4.28,8.865,7.185,81.0,522.0
2015-01-22,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],7.669,5.16,11.055,8.43,6.027,4.257,8.996,7.176,107.0,521.0
2015-01-23,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],7.669,5.16,10.06,8.527,6.055,4.238,9.358,7.343,89.0,531.0
2015-01-24,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.951,5.16,9.083,7.959,6.033,4.249,9.148,7.234,111.0,515.0
2015-01-25,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.951,5.16,9.083,7.959,5.825,4.213,8.965,7.024,111.0,560.0
2015-01-26,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],6.007,3.93,8.54,6.956,5.801,4.127,8.733,6.937,129.0,555.0
2015-01-27,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.342,3.139,8.046,6.28,5.402,3.834,7.87,6.546,110.0,572.0
2015-01-28,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.2,3.104,7.172,5.843,5.387,3.819,7.777,6.422,114.0,564.0
2015-01-29,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.139,3.08,7.492,5.826,5.321,3.775,7.8,6.322,143.0,577.0
2015-01-30,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.139,3.08,7.492,5.826,5.055,3.652,7.432,6.081,143.0,577.0
2015-01-31,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.337,3.127,8.034,6.222,5.004,3.566,7.268,5.939,165.0,566.0
2015-02-01,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.337,3.127,8.034,6.222,5.075,3.539,7.439,6.109,165.0,574.0
2015-02-02,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.16,2.942,7.28,5.83,5.019,3.46,7.213,5.922,194.0,560.0
2015-02-03,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],5.16,2.942,7.28,5.83,5.083,3.493,7.324,6.052,194.0,566.0
2015-02-04,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],4.571,3.104,7.002,5.6,4.882,3.46,7.415,6.112,211.0,566.0
2015-02-05,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],4.554,3.095,6.975,5.622,4.975,3.456,7.649,6.153,224.0,587.0
2015-02-06,NewDelhi,India,77.209,28.6139,[76.709 28.1139 77.709 29.1139],4.397,2.945,6.515,5.284,4.996,3.472,7.536,6.19,207.0,575.0
