Date,City,Country,LonCenter,LatCenter,BoundingCoordinates,Median,Q1,Q3,Mean,Baseline_Median,Baseline_Q1,Baseline_Q3,Baseline_Mean,NumGoodSamples,NumTotalSamples
2015-01-01,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.561,0.252,2.41,1.569,1.653,0.083,3.213,1.852,110.0,701.0
2015-01-02,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.47,0.162,2.953,1.577,1.49,-0.063,3.221,1.712,98.0,709.0
2015-01-03,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.47,0.162,2.953,1.577,1.242,-0.215,2.809,1.439,98.0,733.0
2015-01-04,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.561,0.162,2.96,1.662,1.229,-0.281,2.697,1.426,81.0,732.0
2015-01-05,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.528,0.162,2.96,1.653,1.021,-0.374,2.389,1.124,77.0,705.0
2015-01-06,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.6,-0.147,2.744,1.474,1.166,-0.377,2.479,1.238,83.0,712.0
2015-01-07,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.47,-0.147,2.614,1.284,0.489,-0.998,2.416,0.78,69.0,707.0
2015-01-08,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.47,-0.147,2.744,1.343,1.075,-0.8,2.318,0.913,80.0,705.0
2015-01-09,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.561,-0.147,2.779,1.41,1.428,-1.091,2.676,1.087,83.0,716.0
2015-01-10,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.561,-0.147,2.779,1.41,1.46,-0.428,2.928,1.131,83.0,668.0
2015-01-11,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.528,-0.076,2.779,1.528,1.65,-0.155,2.877,1.297,67.0,670.0
2015-01-12,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.428,-0.389,2.779,1.313,1.609,-0.116,2.917,1.228,56.0,661.0
2015-01-13,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.96,1.713,1.797,-0.017,3.08,1.452,46.0,670.0
2015-01-14,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.96,1.683,1.748,0.226,3.211,1.529,39.0,661.0
2015-01-15,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.96,1.683,1.854,0.328,3.237,1.561,39.0,675.0
2015-01-16,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.779,1.382,1.86,0.243,3.265,1.518,30.0,673.0
2015-01-17,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.779,1.467,1.873,0.244,3.229,1.549,24.0,670.0
2015-01-18,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.779,1.467,1.809,0.381,3.179,1.598,24.0,678.0
2015-01-19,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.779,1.467,1.921,0.408,3.353,1.693,24.0,676.0
2015-01-20,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.973,-0.389,2.779,1.467,1.903,0.388,3.361,1.702,24.0,694.0
2015-01-21,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.779,1.428,3.119,2.369,1.925,0.478,3.352,1.658,18.0,687.0
2015-01-22,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.881,2.137,3.119,2.543,2.135,0.658,3.481,2.201,18.0,695.0
2015-01-23,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.881,2.137,3.021,2.636,2.301,0.908,3.731,2.42,7.0,694.0
2015-01-24,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.905,0.813,3.25,2.16,4.0,692.0
2015-01-25,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.961,0.745,3.251,2.134,4.0,741.0
2015-01-26,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.685,0.797,3.207,1.948,4.0,733.0
2015-01-27,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.642,0.795,3.005,1.916,4.0,733.0
2015-01-28,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.614,0.657,2.424,1.663,4.0,722.0
2015-01-29,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.335,1.467,0.622,2.517,1.626,4.0,731.0
2015-01-30,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.476,1.49,0.594,2.491,1.616,6.0,720.0
2015-01-31,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,2.137,2.881,2.476,1.449,0.607,2.505,1.562,6.0,731.0
2015-02-01,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],1.115,0.776,2.137,1.394,1.337,0.61,2.457,1.499,13.0,729.0
2015-02-02,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.137,1.01,3.904,2.515,1.494,0.667,2.8,1.638,32.0,726.0
2015-02-03,Stockholm,Sweden,18.0501,59.2833,[17.5501 58.7833 18.5501 59.7833],2.6,1.652,3.747,2.761,1.68,0.905,2.993,1.796,42.0,733.0
